county,candidate,party,office,district,votes
Hardin,Mary E. Harshfield,Democratic,State House,83,2961
Hardin,Robert Cole Sprague,Republican,State House,83,8518
Logan,Mary E. Harshfield,Democratic,State House,83,602
Logan,Robert Cole Sprague,Republican,State House,83,2217
Auglaize,Keith Faber,Republican,State House,84,10327
Auglaize,Ed Huff Jr.,Democratic,State House,84,1798
Darke,Keith Faber,Republican,State House,84,11911
Darke,Ed Huff Jr.,Democratic,State House,84,3319
Mercer,Keith Faber,Republican,State House,84,17859
Mercer,Ed Huff Jr.,Democratic,State House,84,3183
Shelby,Keith Faber,Republican,State House,84,8094
Shelby,Ed Huff Jr.,Democratic,State House,84,1307
Champaign,Nino Vitale,Republican,State House,85,12774
Logan,Nino Vitale,Republican,State House,85,14117
Shelby,Nino Vitale,Republican,State House,85,10525
Marion,Scott Crider,Democratic,State House,86,7673
Marion,Dorothy Pelanda,Republican,State House,86,13714
Union,Scott Crider,Democratic,State House,86,5938
Union,Dorothy Pelanda,Republican,State House,86,19971
Crawford,Wes Goodman,Republican,State House,87,13906
Marion,Wes Goodman,Republican,State House,87,2571
Morrow,Wes Goodman,Republican,State House,87,11635
Seneca,Wes Goodman,Republican,State House,87,1367
Wyandot,Wes Goodman,Republican,State House,87,7382
Sandusky,Bill Reineke,Republican,State House,88,19337
Seneca,Bill Reineke,Republican,State House,88,17133
Erie,Steven M. Arndt,Republican,State House,89,20613
Erie,Lawrence D. Hartlaub,Democratic,State House,89,14911
Ottawa,Steven M. Arndt,Republican,State House,89,14108
Ottawa,Lawrence D. Hartlaub,Democratic,State House,89,7553
Adams,Terry A. Johnson,Republican,State House,90,8466
Lawrence,Terry A. Johnson,Republican,State House,90,4186
Scioto,Terry A. Johnson,Republican,State House,90,23970
Clinton,Cliff Rosenberger,Republican,State House,91,14916
Highland,Cliff Rosenberger,Republican,State House,91,13776
Pike,Cliff Rosenberger,Republican,State House,91,7473
Ross,Cliff Rosenberger,Republican,State House,91,1950
Fayette,Gary K. Scherer,Republican,State House,92,8171
Pickaway,Gary K. Scherer,Republican,State House,92,7030
Ross,Gary K. Scherer,Republican,State House,92,18802
Gallia,Ryan Smith,Republican,State House,93,10741
Jackson,Ryan Smith,Republican,State House,93,10147
Lawrence,Ryan Smith,Republican,State House,93,14853
Vinton,Ryan Smith,Republican,State House,93,2457
Athens,Jay Edwards,Republican,State House,94,11980
Athens,Sarah H. Grace,Democratic,State House,94,14010
Meigs,Jay Edwards,Republican,State House,94,7122
Meigs,Sarah H. Grace,Democratic,State House,94,2464
Vinton,Jay Edwards,Republican,State House,94,1237
Vinton,Sarah H. Grace,Democratic,State House,94,661
Washington,Jay Edwards,Republican,State House,94,9533
Washington,Sarah H. Grace,Democratic,State House,94,4667
Belmont,Ginny Favede,Democratic,State House,95,7103
Belmont,Andy Thompson,Republican,State House,95,7612
Carroll,Ginny Favede,Democratic,State House,95,4183
Carroll,Andy Thompson,Republican,State House,95,8180
Harrison,Ginny Favede,Democratic,State House,95,3003
Harrison,Andy Thompson,Republican,State House,95,3951
Noble,Ginny Favede,Democratic,State House,95,1690
Noble,Andy Thompson,Republican,State House,95,4035
Washington,Ginny Favede,Democratic,State House,95,4720
Washington,Andy Thompson,Republican,State House,95,9888
Belmont,Jack Cera,Democratic,State House,96,12412
Jefferson,Jack Cera,Democratic,State House,96,20432
Monroe,Jack Cera,Democratic,State House,96,4757
Guernsey,Brian D. Hill,Republican,State House,97,12069
Muskingum,Brian D. Hill,Republican,State House,97,25416
Holmes,Jeremiah M. Johnson,Democratic,State House,98,859
Holmes,Al Landis,Republican,State House,98,5269
Tuscarawas,Jeremiah M. Johnson,Democratic,State House,98,12495
Tuscarawas,Al Landis,Republican,State House,98,27201
Ashtabula,John Patterson,Democratic,State House,99,26214
Geauga,John Patterson,Democratic,State House,99,5863
Erie,Randy Gardner,Republican,State Senate,2,21492
Erie,Kirk W. Halliday,Democratic,State Senate,2,14019
Fulton,Randy Gardner,Republican,State Senate,2,10153
Fulton,Kirk W. Halliday,Democratic,State Senate,2,3090
Lucas,Randy Gardner,Republican,State Senate,2,30707
Lucas,Kirk W. Halliday,Democratic,State Senate,2,16103
Ottawa,Randy Gardner,Republican,State Senate,2,14575
Ottawa,Kirk W. Halliday,Democratic,State Senate,2,6776
Wood,Randy Gardner,Republican,State Senate,2,41305
Wood,Kirk W. Halliday,Democratic,State Senate,2,19894
Butler,Bill Coley,Republican,State Senate,4,105810
Butler,John D. Kinne,Democratic,State Senate,4,50580
Montgomery,Albert Griggs Jr.,Democratic,State Senate,6,53584
Montgomery,Peggy Lehner,Republican,State Senate,6,114168
Hamilton,Mary Rose Lierman,Democratic,State Senate,8,62693
Hamilton,Lou Terhar,Republican,State Senate,8,106215
Clark,Robert D. Hackett,Republican,State Senate,10,35947
Clark,Matthew Kirk,Democratic,State Senate,10,22453
Greene,Robert D. Hackett,Republican,State Senate,10,51297
Greene,Matthew Kirk,Democratic,State Senate,10,26600
Madison,Robert D. Hackett,Republican,State Senate,10,12233
Madison,Matthew Kirk,Democratic,State Senate,10,4186
Allen,Matt Huffman,Republican,State Senate,12,35535
Auglaize,Matt Huffman,Republican,State Senate,12,10762
Champaign,Matt Huffman,Republican,State Senate,12,13051
Darke,Matt Huffman,Republican,State Senate,12,12433
Logan,Matt Huffman,Republican,State Senate,12,14327
Mercer,Matt Huffman,Republican,State Senate,12,17563
Shelby,Matt Huffman,Republican,State Senate,12,18944
Adams,Charlie Carlier,Democratic,State Senate,14,2674
Adams,Joe Uecker,Republican,State Senate,14,7651
Brown,Charlie Carlier,Democratic,State Senate,14,4715
Brown,Joe Uecker,Republican,State Senate,14,13994
Clermont,Charlie Carlier,Democratic,State Senate,14,23550
Clermont,Joe Uecker,Republican,State Senate,14,70863
Lawrence,Charlie Carlier,Democratic,State Senate,14,2324
Lawrence,Joe Uecker,Republican,State Senate,14,3177
Scioto,Charlie Carlier,Democratic,State Senate,14,10751
Scioto,Joe Uecker,Republican,State Senate,14,17021
Franklin,Cathy Johnson,Democratic,State Senate,16,76077
Franklin,Stephanie L. Kunze,Republican,State Senate,16,109454
Geauga,John J. Eklund,Republican,State Senate,18,26989
Geauga,Wiley Runnestrand,Democratic,State Senate,18,10602
Lake,John J. Eklund,Republican,State Senate,18,40264
Lake,Wiley Runnestrand,Democratic,State Senate,18,18150
Portage,John J. Eklund,Republican,State Senate,18,40719
Portage,Wiley Runnestrand,Democratic,State Senate,18,28694
Athens,Troy Balderson,Republican,State Senate,20,842
Fairfield,Troy Balderson,Republican,State Senate,20,47856
Guernsey,Troy Balderson,Republican,State Senate,20,12288
Hocking,Troy Balderson,Republican,State Senate,20,8310
Morgan,Troy Balderson,Republican,State Senate,20,4561
Muskingum,Troy Balderson,Republican,State Senate,20,29945
Pickaway,Troy Balderson,Republican,State Senate,20,10730
Ashland,Ashley Kemp,,State Senate,22,1
Ashland,Christopher King,Democratic,State Senate,22,5361
Ashland,Larry J. Obhof,Republican,State Senate,22,17727
Holmes,Christopher King,Democratic,State Senate,22,882
Holmes,Larry J. Obhof,Republican,State Senate,22,3383
Medina,Ashley Kemp,,State Senate,22,7
Medina,Christopher King,Democratic,State Senate,22,27428
Medina,Larry J. Obhof,Republican,State Senate,22,56341
Richland,Ashley Kemp,,State Senate,22,3
Richland,Christopher King,Democratic,State Senate,22,15547
Richland,Larry J. Obhof,Republican,State Senate,22,36215
Cuyahoga,Matt Dolan,Republican,State Senate,24,107500
Cuyahoga,Emily Hagan,Democratic,State Senate,24,77383
Crawford,Dave Burke,Republican,State Senate,26,14364
Marion,Dave Burke,Republican,State Senate,26,19012
Morrow,Dave Burke,Republican,State Senate,26,10642
Sandusky,Dave Burke,Republican,State Senate,26,18973
Seneca,Dave Burke,Republican,State Senate,26,17207
Union,Dave Burke,Republican,State Senate,26,21904
Wyandot,Dave Burke,Republican,State Senate,26,7514
Summit,Jonathan Schulz,Republican,State Senate,28,53117
Summit,Vernon Sykes,Democratic,State Senate,28,83805
Athens,Lou Gentile,Democratic,State Senate,30,16176
Athens,Frank Hoagland,Republican,State Senate,30,8933
Belmont,Lou Gentile,Democratic,State Senate,30,14872
Belmont,Frank Hoagland,Republican,State Senate,30,16193
Carroll,Lou Gentile,Democratic,State Senate,30,4689
Carroll,Frank Hoagland,Republican,State Senate,30,7677
Harrison,Lou Gentile,Democratic,State Senate,30,3140
Harrison,Frank Hoagland,Republican,State Senate,30,3916
Jefferson,Lou Gentile,Democratic,State Senate,30,16564
Jefferson,Frank Hoagland,Republican,State Senate,30,15429
Meigs,Lou Gentile,Democratic,State Senate,30,3225
Meigs,Frank Hoagland,Republican,State Senate,30,6121
Monroe,Lou Gentile,Democratic,State Senate,30,3218
Monroe,Frank Hoagland,Republican,State Senate,30,3524
Noble,Lou Gentile,Democratic,State Senate,30,1994
Noble,Frank Hoagland,Republican,State Senate,30,3681
Vinton,Lou Gentile,Democratic,State Senate,30,773
Vinton,Frank Hoagland,Republican,State Senate,30,1085
Washington,Lou Gentile,Democratic,State Senate,30,10799
Washington,Frank Hoagland,Republican,State Senate,30,18188
Ashtabula,Robert J. Allen,Republican,State Senate,32,20088
Ashtabula,Sean J. O'Brien,Democratic,State Senate,32,18704
Geauga,Robert J. Allen,Republican,State Senate,32,6390
Geauga,Sean J. O'Brien,Democratic,State Senate,32,2984
Trumbull,Robert J. Allen,Republican,State Senate,32,34193
Trumbull,Sean J. O'Brien,Democratic,State Senate,32,56763
